City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Youghal,IE,51.95,-7.8506,48.09,93,34,11.5,scattered clouds
311,Tuatapere,NZ,-46.1333,167.6833,68.83,61,100,14.03,overcast clouds
312,Nhulunbuy,AU,-12.2333,136.7667,84.81,74,100,5.75,overcast clouds
313,Avera,US,33.194,-82.5271,67.51,78,100,8.32,overcast clouds
314,Muscat,OM,23.6139,58.5922,71.62,65,100,5.17,overcast clouds
315,Ostrovnoy,RU,68.0531,39.5131,19.0,88,100,7.31,snow
316,Acapulco,MX,16.8634,-99.8901,85.82,66,75,3.44,broken clouds
317,Litovko,RU,49.2361,135.1742,-18.18,99,100,2.08,overcast clouds
318,Rocha,UY,-34.4833,-54.3333,86.2,36,27,13.85,scattered clouds
319,Stornoway,GB,58.2093,-6.3865,43.93,92,90,1.14,overcast clouds
320,Cap Malheureux,MU,-19.9842,57.6142,80.47,74,5,6.17,clear sky
321,Wuwei,CN,37.9281,102.6414,26.47,45,25,3.58,scattered clouds
322,Lanxi,CN,29.2195,119.477,43.05,61,64,1.36,broken clouds
323,Biak,ID,-0.9131,122.8766,76.35,86,81,3.83,broken clouds
324,Tupiza,BO,-21.45,-65.7167,69.21,39,93,14.88,overcast clouds
325,Ulladulla,AU,-35.35,150.4667,65.3,81,97,4.97,overcast clouds
326,Kloulklubed,PW,7.0419,134.2556,81.1,78,99,18.25,overcast clouds
327,Nizhniy Baskunchak,RU,48.2198,46.8311,34.38,68,100,21.16,overcast clouds
328,Meulaboh,ID,4.1363,96.1285,75.56,90,95,8.1,overcast clouds
329,Sangueya,GN,10.7,-14.3667,79.43,52,3,6.67,clear sky
330,Verkhnyaya Sinyachikha,RU,57.976,61.6673,17.94,95,100,5.99,light snow
331,Samfya,ZM,-11.3649,29.5565,68.2,79,70,5.23,light rain
332,Mezen,RU,65.8522,44.24,-16.56,94,8,5.5,clear sky
333,Wangqing,CN,43.3218,129.7634,11.8,92,100,3.62,overcast clouds
334,Merauke,ID,-8.4667,140.3333,78.8,84,100,5.99,overcast clouds
335,Meadow Lake,US,34.8014,-106.5436,46.62,33,0,5.66,clear sky
336,Santa Luzia,BR,-19.7697,-43.8514,78.94,65,75,13.8,broken clouds
337,Cabedelo,BR,-6.9811,-34.8339,86.67,69,71,10.94,broken clouds
338,Cape Canaveral,US,28.4058,-80.6048,85.21,72,1,13.8,clear sky
339,Pandan,PH,14.0453,124.1694,78.1,90,100,8.1,overcast clouds
340,Urdoma,RU,61.7533,48.5442,3.38,96,100,6.62,overcast clouds
341,Saskylakh,RU,71.9167,114.0833,-9.15,97,100,10.98,overcast clouds
342,Hambantota,LK,6.1241,81.1185,77.34,94,40,6.91,scattered clouds
343,Huarmey,PE,-10.0681,-78.1522,73.98,72,100,11.14,overcast clouds
344,Bay Roberts,CA,47.5999,-53.2648,26.24,64,6,8.01,clear sky
